artist,rank,count,first
Yeah Yeah Yeahs,2,4,< 2005
Yeah Yeah Yeahs,2,4,< 2005
Yeah Yeah Yeahs,1,4,< 2005
Yeah Yeah Yeahs,1,4,< 2005
Thursday,3,4,< 2005
Thursday,1,4,< 2005
Thursday,3,4,< 2005
Thursday,3,4,< 2005
The Offspring,1,4,< 2005
The Offspring,1,4,< 2005
The Offspring,1,4,< 2005
The Hives,1,4,< 2005
The Hives,1,4,< 2005
The Hives,2,4,< 2005
The Hives,1,4,< 2005
Taking Back Sunday,1,4,< 2005
Taking Back Sunday,1,4,< 2005
Taking Back Sunday,1,4,< 2005
Taking Back Sunday,1,4,< 2005
Roots Manuva,3,4,< 2005
Roots Manuva,3,4,< 2005
Roots Manuva,1,4,< 2005
Roots Manuva,3,4,< 2005
Reel Big Fish,3,4,< 2005
Reel Big Fish,2,4,< 2005
Reel Big Fish,1,4,< 2005
Reel Big Fish,3,4,< 2005
Placebo,1,4,< 2005
Placebo,1,4,< 2005
Placebo,1,4,< 2005
Placebo,1,4,< 2005
LCD Soundsystem,3,4,< 2005
LCD Soundsystem,2,4,< 2005
LCD Soundsystem,2,4,< 2005
LCD Soundsystem,2,4,< 2005
Ladytron,4,4,< 2005
Ladytron,3,4,< 2005
Ladytron,2,4,< 2005
Ladytron,4,4,< 2005
Interpol,4,4,< 2005
Interpol,2,4,< 2005
Interpol,1,4,< 2005
Interpol,1,4,< 2005
Graham Coxon,2,4,< 2005
Graham Coxon,2,4,< 2005
Graham Coxon,1,4,< 2005
Graham Coxon,2,4,< 2005
Dropkick Murphys,3,4,< 2005
Dropkick Murphys,1,4,< 2005
Dropkick Murphys,1,4,< 2005
Dropkick Murphys,1,4,< 2005
Dizzee Rascal,2,4,< 2005
Dizzee Rascal,2,4,< 2005
Dizzee Rascal,1,4,< 2005
Dizzee Rascal,1,4,< 2005
Deftones,1,4,< 2005
Deftones,1,4,< 2005
Deftones,1,4,< 2005
Deftones,1,4,< 2005
Coheed and Cambria,3,4,< 2005
Coheed and Cambria,2,4,< 2005
Coheed and Cambria,1,4,< 2005
Coheed and Cambria,1,4,< 2005
2manydjs,2,4,< 2005
2manydjs,3,4,< 2005
2manydjs,3,4,< 2005
2manydjs,2,4,< 2005
Thrice,5,5,< 2005
Thrice,1,5,< 2005
Thrice,3,5,< 2005
Thrice,1,5,< 2005
Thrice,4,5,< 2005
The Streets,3,5,< 2005
The Streets,1,5,< 2005
The Streets,1,5,< 2005
The Streets,1,5,< 2005
The Streets,2,5,< 2005
The Living End,1,5,< 2005
The Living End,4,5,< 2005
The Living End,1,5,< 2005
The Living End,4,5,< 2005
The Libertines,2,5,< 2005
The Libertines,1,5,< 2005
The Libertines,1,5,< 2005
The Libertines,1,5,< 2005
The Libertines,1,5,< 2005
Hundred Reasons,2,5,< 2005
Hundred Reasons,1,5,< 2005
Hundred Reasons,2,5,< 2005
Hundred Reasons,1,5,< 2005
Hundred Reasons,3,5,< 2005
Foo Fighters,1,5,< 2005
Foo Fighters,1,5,< 2005
Foo Fighters,1,5,< 2005
Foo Fighters,1,5,< 2005
Foo Fighters,1,5,< 2005
